objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-13964135738	0	object/static/item/item_star_destroyer_starfield_box.iff	0	499.311	506.93791	993.73	1	0	0	0		$|
-7084344444	0	object/building/general/space_dungeon_star_destroyer.iff	0	500.624	625	741.579	1	0	0	0	systems.instance.instance_manager:systems.dungeon_sequencer.sequence_controller:structure.municipal.cloning_facility	instance.data_table|4|datatables/spawning/heroic/heroic_lost_star_destroyer.iff|instance_name|4|heroic_lost_star_destroyer|portalProperty.crc|0|-1433146206|travel.point_name|4|Blackguard|$|
-2077317573	-7084344444	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2077317572	-7084344444	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-2077317571	-7084344444	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-2077317570	-7084344444	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-2077317569	-7084344444	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-2077317567	-7084344444	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-2077317566	-7084344444	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-2077317565	-7084344444	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-2077317564	-7084344444	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-2077317563	-7084344444	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-2077317562	-7084344444	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-2077317561	-7084344444	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-2077317560	-7084344444	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-2077317559	-7084344444	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-2077317557	-7084344444	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-2077317556	-7084344444	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-2077317555	-7084344444	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-2077317554	-7084344444	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-2077317553	-7084344444	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-2077317552	-7084344444	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-2077317551	-7084344444	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-2077317550	-7084344444	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-2077317549	-7084344444	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-2077317548	-7084344444	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-2077317547	-7084344444	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-2077317546	-7084344444	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-2077317545	-7084344444	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-2077317544	-7084344444	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-2077317543	-7084344444	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-2077317541	-7084344444	object/cell/cell.iff	30	0	0	0	1	0	0	0		$|
-2077317540	-7084344444	object/cell/cell.iff	31	0	0	0	1	0	0	0		$|
-2077317539	-7084344444	object/cell/cell.iff	32	0	0	0	1	0	0	0		$|
-2077317538	-7084344444	object/cell/cell.iff	33	0	0	0	1	0	0	0		$|
-2077317537	-7084344444	object/cell/cell.iff	34	0	0	0	1	0	0	0		$|
-2077317536	-7084344444	object/cell/cell.iff	35	0	0	0	1	0	0	0		$|
-2077317535	-7084344444	object/cell/cell.iff	36	0	0	0	1	0	0	0		$|
-2077317534	-7084344444	object/cell/cell.iff	37	0	0	0	1	0	0	0		$|
-2077317533	-7084344444	object/cell/cell.iff	38	0	0	0	1	0	0	0		$|
-2077317532	-7084344444	object/cell/cell.iff	39	0	0	0	1	0	0	0		$|
