item	token33	token18	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series3_wookiee_ceremonial_pipe	3000				
item_tcg_loot_reward_series3_greeter_battle_droid	299				
item_tcg_loot_reward_series3_battle_droid_vendor	300				
item_tcg_loot_reward_series5_armored_varactyl_statue	301				
item_tcg_loot_reward_series5_klorri_clan_shield	302				
item_tcg_loot_reward_series7_commando_painting	303				
item_tcg_loot_reward_series7_build04_broken_ball_turret	304				
item_tcg_loot_reward_series7_atpt_walker	305				
item_tcg_loot_reward_series8_dagobah_garden	306				
item_tcg_loot_reward_series8_yoda_xwing	307				
item_tcg_loot_reward_series8_yodas_soup	308				
item_tcg_loot_reward_series8_yoda_backpack	450				
item_player_house_deed_tree_house_01	310				
item_mustafar_reward_token_01_01		2			
