item	token33	limit	note
s	i	i[0]	c
item_tcg_loot_reward_series7_deed_commando_bunker	5000		Deed: Commando Bunker
item_tcg_loot_reward_series7_deed_vip_bunker	5000		Deed VIP Bunker
item_tcg_loot_reward_series6_build02_hk47_mustafar_diorama	300		HK47: Mustafar Diorama
item_tcg_loot_reward_series5_mustafar_diorama	150		Mustafar Diorama
item_tow_ring_armorsmith_04_01	50		Relic Armorsmith's Ring
item_tow_ring_chef_04_01	50		Relic Chef's Ring
item_tow_ring_droideng_04_01	50		Relic Droid Engineer's Ring
item_tow_ring_weaponsmith_04_01	50		Relic Weaponsmith's Ring
item_tow_schematic_psg_05_01	500		Schematic: Old Republic Personal Shield
item_tow_foreman_burst_run_04_01	1000		Sprint Enhancement Stim
item_tcg_loot_reward_series3_mustafar_travel_advertisement	100		Travel Advertisement: Mustafar
