item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_paintingnew1	150000								
item_paintingnew2	150001								
item_paintingnew3	150002								
item_paintingnew4	150003								
item_paintingnew5	150004								
item_paintingnew6	150005								
item_paintingnew7	150006								
item_paintingnew8	150007								
item_paintingnew9	150008								
item_paintingnew10	150009								
item_paintingnew11	150010								
item_paintingnew12	150011								
item_paintingnew13	150012								
item_paintingnew14	150013								
item_paintingnew15	150014								
item_paintingnew16	150015								
item_paintingnew17	150016								
item_paintingnew18	150017								
item_paintingnew19	150018								
item_paintingnew20	150019								
