item	token22	limit	note
s	i	i[0]	c
armor_mandalorian_imperial_chest_plate_04_01	1000		Mandalorian Mark III Chestplate
armor_mandalorian_imperial_helmet_04_01	800		Mandalorian Mark III Helmet
armor_mandalorian_imperial_leggings_04_01	800		Mandalorian Mark III Leggings
armor_mandalorian_imperial_bicep_l_04_01	500		Mandalorian Mark III Left Bicep
armor_mandalorian_imperial_bicep_r_04_01	500		Mandalorian Mark III Right Bicep
armor_mandalorian_imperial_bracer_l_04_01	500		Mandalorian Mark III Left Bracer
armor_mandalorian_imperial_bracer_r_04_01	500		Mandalorian Mark III Right Bracer
armor_mandalorian_imperial_belt_04_01	300		Mandalorian Mark III Belt
armor_mandalorian_imperial_boots_04_01	300		Mandalorian Mark III Boots
armor_mandalorian_imperial_gloves_04_01	300		Mandalorian Mark III Gloves
armor_mandalorian_imperial_white_chest_plate_04_01	1000		White Mandalorian Mark III Chestplate
armor_mandalorian_imperial_white_helmet_04_01	800		White Mandalorian Mark III Helmet
armor_mandalorian_imperial_white_leggings_04_01	800		White Mandalorian Mark III Leggings
armor_mandalorian_imperial_white_bicep_l_04_01	500		White Mandalorian Mark III Left Bicep
armor_mandalorian_imperial_white_bicep_r_04_01	500		White Mandalorian Mark III Right Bicep
armor_mandalorian_imperial_white_bracer_l_04_01	500		White Mandalorian Mark III Left Bracer
armor_mandalorian_imperial_white_bracer_r_04_01	500		White Mandalorian Mark III Right Bracer
armor_mandalorian_imperial_white_belt_04_01	300		White Mandalorian Mark III Belt
armor_mandalorian_imperial_white_boots_04_01	300		White Mandalorian Mark III Boots
armor_mandalorian_imperial_white_gloves_04_01	300		White Mandalorian Mark III Gloves
weapon_mandalorian_sword_04_01	500		Templar Sword
weapon_mandalorian_pistol_04_01	500		M-XII Pistol
weapon_mandalorian_carbine_04_01	500		M-XIII Carbine
weapon_mandalorian_rifle_04_01	500		M-XIV Rifle
weapon_mandalorian_heavy_04_01	500		M-XX Heavy Rifle
