item	token23	limit	note
s	i	i[0]	c
armor_mandalorian_rebel_chest_plate_04_01	1000		Mandalorian Mark III Chestplate
armor_mandalorian_rebel_helmet_04_01	800		Mandalorian Mark III Helmet
armor_mandalorian_rebel_leggings_04_01	800		Mandalorian Mark III Leggings
armor_mandalorian_rebel_bicep_l_04_01	500		Mandalorian Mark III Left Bicep
armor_mandalorian_rebel_bicep_r_04_01	500		Mandalorian Mark III Right Bicep
armor_mandalorian_rebel_bracer_l_04_01	500		Mandalorian Mark III Left Bracer
armor_mandalorian_rebel_bracer_r_04_01	500		Mandalorian Mark III Right Bracer
armor_mandalorian_rebel_belt_04_01	300		Mandalorian Mark III Belt
armor_mandalorian_rebel_boots_04_01	300		Mandalorian Mark III Boots
armor_mandalorian_rebel_gloves_04_01	300		Mandalorian Mark III Gloves
armor_mandalorian_rebel_white_chest_plate_04_01	1000		White Mandalorian Mark III Chestplate
armor_mandalorian_rebel_white_helmet_04_01	800		White Mandalorian Mark III Helmet
armor_mandalorian_rebel_white_leggings_04_01	800		White Mandalorian Mark III Leggings
armor_mandalorian_rebel_white_bicep_l_04_01	500		White Mandalorian Mark III Left Bicep
armor_mandalorian_rebel_white_bicep_r_04_01	500		White Mandalorian Mark III Right Bicep
armor_mandalorian_rebel_white_bracer_l_04_01	500		White Mandalorian Mark III Left Bracer
armor_mandalorian_rebel_white_bracer_r_04_01	500		White Mandalorian Mark III Right Bracer
armor_mandalorian_rebel_white_belt_04_01	300		White Mandalorian Mark III Belt
armor_mandalorian_rebel_white_boots_04_01	300		White Mandalorian Mark III Boots
armor_mandalorian_rebel_white_gloves_04_01	300		White Mandalorian Mark III Gloves
weapon_mandalorian_lightsaber_04_01	1000		Jinsu Razor Lightsaber
weapon_mandalorian_sword_04_01	500		Templar Sword
weapon_mandalorian_pistol_04_01	500		M-XII Pistol
weapon_mandalorian_carbine_04_01	500		M-XIII Carbine
weapon_mandalorian_rifle_04_01	500		M-XIV Rifle
weapon_mandalorian_heavy_04_01	500		M-XX Heavy Rifle
weapon_rebel_sword_04_01	500		Nova Edge Sword
weapon_rebel_pistol_04_01	500		Dead Bolt Pistol
weapon_rebel_rifle_04_01	500		Reaper Sniper Rifle
weapon_rebel_heavy_04_01	500		Frag Storm Heavy Shotgun
