item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series3_general_grievous_gutsack	374997								
item_tcg_loot_reward_series3_hh_15_torpedo_warhead	374997								
item_tcg_loot_reward_series3_wookiee_ceremonial_pipe	3000000								
item_tcg_loot_reward_series3_jango_fett_memorial_statue	374997								
item_tcg_loot_reward_series3_boba_fett_statue	374998								
item_tcg_loot_reward_series3_emperor_palpatine_statuette	374999								
item_tcg_loot_reward_series3_armored_bantha	375004								
item_tcg_loot_reward_series3_creature_pet_deed_massiff	375006								
item_tcg_loot_reward_series3_empal_surecon_center_medical_table	375007								
item_tcg_loot_reward_series3_wampa_skin_rug	375008								
item_tcg_loot_reward_series3_target_dummy	375009								
item_tcg_loot_reward_series3_house_sign	375010								
item_tcg_loot_reward_series3_mandalorian_skull_banner	375011								
item_tcg_loot_reward_series3_merr_sonn_jt12_jetpack_blueprints	375012								
item_tcg_loot_reward_series3_mustafar_travel_advertisement	375013								
item_tcg_loot_reward_series3_hoth_travel_advertisement	375014								
item_tcg_loot_reward_series3_swg_tcg_painting	375015								
item_tcg_loot_reward_series3_darth_vader_obi_wan_diorama	375016								
item_tcg_loot_reward_series3_guise_of_the_master	375017								
item_tcg_loot_reward_series3_gargans_hands_of_seduction	375018								
item_tcg_loot_reward_series3_greeter_battle_droid	375019								
item_tcg_loot_reward_series3_greeter_toydarian	375020								
item_tcg_loot_reward_series3_greeter_tusken	375021								
item_tcg_loot_reward_series3_nightsister_vendor	375022								
item_tcg_loot_reward_series3_battle_droid_vendor	375023								
