item	token34	limit	note
s	i	i[0]	c
object/tangible/veteran_reward/data_terminal_s4.iff	3		A Control Array
object/tangible/veteran_reward/resource.iff	30		A Crate of Free Resources
object/tangible/veteran_reward/structure_storage_increase_deed.iff	39		A Deed For Increased Building Storage
object/tangible/veteran_reward/frn_vet_display_stand.iff	9		A Display Stand
object/tangible/veteran_reward/frn_vet_fireplace.iff	24		A Fireplace
object/tangible/veteran_reward/data_terminal_s3.iff	3		A Holonet Terminal
object/tangible/veteran_reward/data_terminal_s1.iff	3		A Holonet Tracking Console
object/tangible/veteran_reward/respec_voucher_deed.iff	78		A Respec Voucher
object/tangible/veteran_reward/data_terminal_s2.iff	3		A Sample Readout Console
item_vet_reward_75month_houseplant_02	75		An Exotic Plant
object/tangible/veteran_reward/one_year_anniversary/painting_01.iff	3	1	Cast Wing in Flight
object/tangible/veteran_reward/city_flag_kit.iff	54		City Banner Kit
st_cn_vet_reward_dark_jedi_boss	57		Dark Jedi Forcemaster Storyteller Token
item_vet_reward_72month_darth_maul	72		Darth Maul Statue
object/tangible/veteran_reward/frn_vet_holo_darth_vader.iff	42		Darth Vader Hologram
object/tangible/veteran_reward/frn_tech_console_sectional_c.iff	12		Database Input Terminal
item_vet_66_month_jedi_temple_burning	66		Death - Destroyed Jedi Temple Miniature
object/tangible/veteran_reward/frn_vet_holo_deathstar.iff	24		Death Star Hologram
object/tangible/veteran_reward/frn_vet_houseplant.iff	9		Decorative Houseplant
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff	3	1	Dusk in Kachirho
object/tangible/veteran_reward/frn_vet_emp_chair.iff	30		Emperor's Chair
object/tangible/veteran_reward/one_year_anniversary/painting_09.iff	3	1	Emperor's Eyes
object/tangible/veteran_reward/frn_vet_palpatine_statue.iff	63		Empire Day Emperor's Statue
item_vet_reward_greeter_gamorrean	69	5	Employment Terminal: Gamorrean Greeter
object/tangible/veteran_reward/one_year_anniversary/painting_05.iff	3	1	Fighter Study
item_vet_reward_78month_ttgm_itt	78		Flight of the Veteran
object/tangible/veteran_reward/vr_gacklebat_deed.iff	48		Gackle Bat Familiar
object/tangible/veteran_reward/frn_vet_carbonite_geonosian.iff	51		Geonosian in Carbonite
object/tangible/veteran_reward/frn_vet_carbonite_gungan.iff	51		Gungan in Carbonite
object/tangible/veteran_reward/frn_tech_console_sectional_a.iff	12		Holonet Databank
item_vet_homing_beacon_03_01	57		Homing Beacon
item_deed_hover_chair_06_01	60	5	Hover Chair Vehicle Deed
