strItemType	comments
s	s
item_tow_proc_generic_03_01	Buffs: Mustafarian Injector
item_tow_crystal_uber_05_01	Buffs: Shard of Ferocity
item_tow_crystal_uber_05_02	Buffs: Shard of Retaliation
item_tow_buff_crystal_02_03	Buffs: Shard of the Serpent
item_tow_holocron_ab_immune_02_01	Buffs: Sith Holocron
rare_loot_chest_quality_2	Chest: Exceptional Chest
object/tangible/veteran_reward/resource.iff	Deed: A Crate of Free Resources
object/tangible/veteran_reward/harvester.iff	Deed: Make A Harvester Self Powered
item_cs_dna_mooc	DNA Storage Container
item_pangrack_dna	DNA Storage Container
item_crystal_allyas_redemption_01	Color Crystal: Allya's Redemption
item_color_crystal_02_23	Color Crystal: Baas's Windom
item_color_crystal_02_25	Color Crystal: Dawn of Degobah
item_color_crystal_02_20	Color Crystal: Kun's Blood
item_color_crystal_02_17	Color Crystal: Gallia's Intuition
item_color_crystal_02_26	Color Crystal: Horn's Future
item_color_crystal_02_30	Color Crystal: Kit's Ferocity
item_color_crystal_02_21	Color Crystal: Mundi's Response
item_color_crystal_02_18	Color Crystal: Prowess of Plo Koon
item_color_crystal_02_27	Color Crystal: Qui-gon's Devotion
item_color_crystal_02_24	Color Crystal: Quintessence of the Force
item_color_crystal_02_22	Color Crystal: Strength of Luminaria
item_color_crystal_02_15	Color Crystal: Ulric's Redemption
item_power_crystal_04_21	Power Crystal: Perfect
item_publish_gift_37_04_01	Misc: War Terminal
item_target_dummy_blacksun	Target Dummy: Black Sun Controller
item_target_dummy_stormtrooper	Target Dummy: Imperial Controller
item_target_dummy_rebel_trooper	Target Dummy: Rebel Controller
object/tangible/painting/painting_han_wanted.iff	Painting: Wanted Poster Han Solo
object/tangible/painting/painting_leia_wanted.iff	Painting: Wanted Poster Leia Organa
object/tangible/painting/painting_luke_wanted.iff	Painting: Wanted Poster Luke Skywalker
