strItemType	comments
s	s
item_force_crystal_04_01	Buffs: Biological Focus Crystal
item_publish_gift_27_04_01	Buffs: Concentrated Bacta Tank
item_power_crystal_04_21	Buffs: Perfect Power Crystal
item_force_crystal_04_02	Buffs: Synapse Focus Crystal
rare_loot_chest_quality_3	Chest: Legendary Chest
item_crystal_allyas_exile_01	Color Crystal: Allya's Exile
item_color_crystal_02_19	Color Crystal: B'nar's Sacrifice
item_color_crystal_02_16	Color Crystal: Bane's Heart
item_crystal_tyranus_cunning_01	Color Crystal: Cunning of Tyraanus
item_color_crystal_02_28	Color Crystal: Kenobi's Legacy
item_color_crystal_02_12	Color Crystal: Maul's Vengeance
item_color_crystal_02_29	Color Crystal: Sunrider's Destiny
item_color_crystal_02_20	Color Crystal: Windu's Guile
object/tangible/veteran_reward/structure_storage_increase_deed.iff	Deed: A Deed For Increased Building Storage
item_vet_reward_resource_fabricator	Deed: Resource Fabricator
item_vet_reward_resource_generator	Deed: Resource Supply Generator
weapon_carbine_e5_legendary	Legendary: E5 Carbine
weapon_pistol_fwg5_legendary	Legendary: FWG5 Pistol
weapon_energy_lance_legendary	Legendary: Nightsister Energy Lance
weapon_2h_sword_maul_legendary	Legendary: Power Hammer
weapon_stun_baton_legendary	Legendary: Stun Baton
weapon_rifle_legendary_t21	Legendary: T21 Rifle
