consonant	placement	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan	aqualish	nightsister	togruta	bith	nikto	marauder	chiss	nautolan	klaatu	ishitib	weequay	arcona	devaronian
s	s	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
b	bme	100	100	100	100	10	100	100	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100
bl	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
br	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
c	bme	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
cc	e	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
ch	bme	10	10	1	10	0	10	10	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
chr	bm	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
cht	e	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
ck	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
cl	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
cr	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
ct	me	5	5	0	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
cz	bm	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
d	bme	100	100	100	100	10	100	10	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100
dh	bm	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
dl	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
dr	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
dw	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
f	bme	100	100	100	100	0	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ff	bme	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
fl	bm	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
fr	bm	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
g	bme	100	100	100	100	0	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
gg	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
gh	bme	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
ght	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
gl	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
gn	bme	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
gm	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
gr	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
gw	bm	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
h	bme	100	100	100	100	0	100	1	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100
hn	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
