word	root	type	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan	aqualish	nightsister	togruta	bith	nikto	marauder	chiss	nautolan	klaatu	ishitib	weequay	arcona	devaronian
s	s	s	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
sun	sun	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
moon	moon	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
sky	sky	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
light	light	nvj	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
lighting	light	g	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
lighter	light	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
dark	dark	nvj	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
walk	walk	v	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
walker	walk	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
ride	ride	v	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
rider	ride	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
stride	stride	v	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
strider	stride	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
cloud	cloud	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
float	float	v	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
star	star	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
mist	mist	n	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
dust	dust	nv	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
free	free	j	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
crest	crest	nv	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
cresting	crest	g	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
run	run	v	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
runner	run	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
running	run	g	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
wave	wave	nv	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
waving	wave	g	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
waver	wave	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
fly	fly	nv	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
flying	fly	g	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
flier	fly	c	0	100	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100
