vowel	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan	aqualish	nightsister	togruta	bith	nikto	marauder	chiss	nautolan	klaatu	ishitib	weequay	arcona	devaronian
s	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
a	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ae	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
ai	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
aie	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ao	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
au	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
e	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ea	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
ee	5	5	5	100	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
ei	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
eia	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eo	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
eu	5	5	5	0	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
i	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ia	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
ie	5	5	5	5	0	0	0	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
io	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
o	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
oa	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
oe	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
oi	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
oo	5	5	5	100	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
ou	5	5	5	5	0	0	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
u	5	5	5	5	10	10	0	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5
y	5	5	5	5	10	10	100	50	50	50	50	5	5	5	5	5	5	5	5	5	5	5	5
yy	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yyy	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
