Gender Species	Species Enumeration	Gender Enumeration
s	I	I
Male Human	0	0
Female Human	0	1
Male Rodian	1	0
Female Rodian	1	1
Male MonCal	3	0
Female MonCal	3	1
Male Wookiee	4	0
Female Wookiee	4	1
Male Twi'lek	6	0
Female Twi'lek	6	1
Male Trandoshan	2	0
Female Trandoshan	2	1
Male Zabrak	7	0
Female Zabrak	7	1
Male Bothan	5	0
Female Bothan	5	1
Male Ithorian	33	0
Female Ithorian	33	1
Male Sullustan	49	0
Female Sullustan	49	1
Male Aqualish	0	0
Female Aqualish	0	1
Female Nightsister	0	1
Female Togruta	0	1
Male Klaatu	0	0
Male Ishitib	0	0
Male Bith	0	0
Female Bith	0	1
Male Nikto	0	0
Male Weequay	0	0
Male Nautolan	0	0
Male Devaronian	0	0
Male Gran	0	0
Male arcona	0	0
