male_template	female_template	health	strength	constitution	action	quickness	stamina	mind	focus	willpower
s	s	I	I	I	I	I	I	I	I	I
bothan_male	bothan_female	0	0	0	0	0	0	0	0	0
human_male	human_female	0	0	0	0	0	0	0	0	0
moncal_male	moncal_female	0	0	0	0	0	0	0	0	0
rodian_male	rodian_female	0	0	0	0	0	0	0	0	0
trandoshan_male	trandoshan_female	0	0	0	0	0	0	0	0	0
twilek_male	twilek_female	0	0	0	0	0	0	0	0	0
wookiee_male	wookiee_female	0	0	0	0	0	0	0	0	0
zabrak_male	zabrak_female	0	0	0	0	0	0	0	0	0
sullustan_male	sullustan_female	0	0	0	0	0	0	0	0	0
ithorian_male	ithorian_female	0	0	0	0	0	0	0	0	0
aqualish_male	aqualish_female	0	0	0	0	0	0	0	0	0
	togruta_female	0	0	0	0	0	0	0	0	0
	nightsister_female	0	0	0	0	0	0	0	0	0
arcona_male		0	0	0	0	0	0	0	0	0
bith_male	bith_female	0	0	0	0	0	0	0	0	0
chiss_male	chiss_female	0	0	0	0	0	0	0	0	0
devaronian_male		0	0	0	0	0	0	0	0	0
gran_male		0	0	0	0	0	0	0	0	0
ishitib_male		0	0	0	0	0	0	0	0	0
klaatu_male		0	0	0	0	0	0	0	0	0
nikto_male		0	0	0	0	0	0	0	0	0
marauder_male	marauder_female	0	0	0	0	0	0	0	0	0
nautolan_male		0	0	0	0	0	0	0	0	0
weequay_male		0	0	0	0	0	0	0	0	0
