SPECIES_GENDER	CUSTOMIZATION_GROUP	TYPE	CUSTOMIZATION_NAME	VARIABLES	IS_SCALE	REVERSE	COLOR_LINKED	COLOR_LINKED_TO_SELF_0	COLOR_LINKED_TO_SELF_1	CAMERA_YAW	DISCRETE	RAMDOMIZABLE	RANDOMIZABLE_GROUP	IS_VAR_HAIR_COLOR	IMAGEDESIGN_SKILLMOD	SKILLMOD_VALUE	MODIFICATION_TYPE
s	s	s	s	s	b[0]	b[0]	s	s	s	f[0.0]	b[0]	b[1]	b[0]	b[0]	s	i[99]	s
moncal_female	body	hslider	muscle	blend_muscle											body	3	physical
moncal_female	body	hslider	height		1										body	5	physical
moncal_female	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
moncal_female	body	color	color_skin	index_color_skin											body	9	physical
moncal_female	body	color	color_markings	index_color_3											markings	3	cosmetic
moncal_female	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
moncal_female	eyes_nose	hslider	eye_shape	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
moncal_female	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
moncal_female	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
moncal_female	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1											face	6	physical
moncal_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
moncal_female	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
moncal_female	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
moncal_female	face	hslider	cheeks	blend_jaw_0,blend_jaw_1											face	4	physical
moncal_female	face	hslider	jaw	blend_cheeks_0,blend_cheeks_1						195					face	10	physical
moncal_female	face	hslider	gullet	blend_chinsize_0,blend_chinsize_1											face	10	physical
moncal_female	face	hslider	head	blend_headsize_0,blend_headsize_1						250					face	12	physical
moncal_female	face	color	color_skin	index_color_skin											face	9	physical
moncal_female	face	color	color_markings	index_color_3											markings	3	cosmetic
moncal_female	markings	hslider	pattern	index_texture_1							1				markings	5	cosmetic
moncal_female	markings	color	color_skin	index_color_skin											body	9	physical
moncal_female	markings	color	color_markings	index_color_3											markings	3	cosmetic
bothan_female	body	hslider	muscle	blend_muscle											body	3	physical
bothan_female	body	hslider	height		1										body	5	physical
bothan_female	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
bothan_female	body	hslider	chest	blend_flat_chest		1									body	9	physical
bothan_female	body	color	color_fur	index_color_skin											body	1	cosmetic
bothan_female	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
bothan_female	eyes_nose	hslider	eye_shape	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
bothan_female	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
bothan_female	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
bothan_female	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1						270					face	6	physical
bothan_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
bothan_female	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
bothan_female	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
bothan_female	face	hslider	chin	blend_chinsize_0,blend_chinsize_1											face	5	physical
bothan_female	face	hslider	jaw	blend_jaw_0,blend_jaw_1						195					face	10	physical
bothan_female	face	hslider	cheeks	blend_cheeks_0,blend_cheeks_1											face	4	physical
bothan_female	face	hslider	ears	blend_ears_0,blend_ears_1						180					face	10	physical
bothan_female	face	color	color_fur	index_color_skin											body	1	cosmetic
bothan_female	hair	color	color_hair	index_color_1										1	hair	1	cosmetic
bothan_female	hair	color	color_trim	index_color_2										1	hair	2	cosmetic
human_male	body	hslider	muscle	blend_muscle											body	3	physical
human_male	body	hslider	height		1										body	5	physical
human_male	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
human_male	body	hslider	chest	blend_muscle											body	9	physical
human_male	body	color	color_skin	index_color_skin											body	9	physical
human_male	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
human_male	eyes_nose	hslider	eye_shape	blend_eyeshape_0,blend_eyeshape_1											face	8	physical
human_male	eyes_nose	hslider	eye_direction	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
human_male	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
human_male	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
human_male	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1											face	6	physical
human_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
human_male	face	hslider	age	index_age							1	0			face	12	physical
human_male	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
human_male	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
human_male	face	hslider	chin	blend_chinsize_0,blend_chinsize_1											face	5	physical
human_male	face	hslider	jaw	blend_jaw_0,blend_jaw_1						195					face	10	physical
human_male	face	hslider	cheeks	blend_cheeks_0,blend_cheeks_1											face	4	physical
human_male	face	hslider	ears	blend_ears_0,blend_ears_1						180					face	10	physical
human_male	face	color	color_skin	index_color_skin											body	9	physical
human_male	freckles	hslider	freckles	index_style_freckles							1				face	3	physical
human_male	hair	hslider	eyebrows	index_style_eyebrow							1				hair	4	cosmetic
human_male	hair	hslider	beard	index_style_beard							1				hair	4	cosmetic
human_male	hair	color	color_hair	index_color_1										1	hair	1	cosmetic
human_male	hair	color	color_facial_hair	index_color_facial_hair			index_color_1								hair	2	cosmetic
moncal_male	body	hslider	muscle	blend_muscle											body	3	physical
moncal_male	body	hslider	height		1										body	5	physical
moncal_male	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
moncal_male	body	color	color_skin	index_color_skin											body	9	physical
moncal_male	body	color	color_markings	index_color_pattern											markings	3	cosmetic
moncal_male	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
moncal_male	eyes_nose	hslider	eye_shape	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
moncal_male	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
moncal_male	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
moncal_male	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1											face	6	physical
moncal_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
moncal_male	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
moncal_male	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
moncal_male	face	hslider	cheeks	blend_jaw_0,blend_jaw_1						195					face	4	physical
moncal_male	face	hslider	jaw	blend_cheeks_0,blend_cheeks_1											face	10	physical
moncal_male	face	hslider	gullet	blend_chinsize_0,blend_chinsize_1											face	10	physical
moncal_male	face	hslider	head	blend_ears_0,blend_ears_1						200					face	12	physical
moncal_male	face	color	color_skin	index_color_skin											body	9	physical
moncal_male	face	color	color_markings	index_color_pattern											markings	3	cosmetic
moncal_male	markings	hslider	pattern	index_texture_1							1				markings	5	cosmetic
moncal_male	markings	color	color_skin	index_color_skin											body	9	physical
moncal_male	markings	color	color_markings	index_color_pattern											markings	3	cosmetic
bothan_male	body	hslider	muscle	blend_muscle											body	3	physical
bothan_male	body	hslider	height		1										body	5	physical
bothan_male	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
bothan_male	body	hslider	chest	blend_muscle								0			body	9	physical
bothan_male	body	color	color_fur	index_color_skin											body	1	cosmetic
bothan_male	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
bothan_male	eyes_nose	hslider	eye_shape	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
bothan_male	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
bothan_male	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
bothan_male	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1						270					face	6	physical
bothan_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
bothan_male	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
bothan_male	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
bothan_male	face	hslider	chin	blend_chinsize_0,blend_chinsize_1											face	5	physical
bothan_male	face	hslider	jaw	blend_jaw_0,blend_jaw_1						195					face	10	physical
bothan_male	face	hslider	cheeks	blend_cheeks_0,blend_cheeks_1											face	4	physical
bothan_male	face	hslider	ears	blend_ears_0,blend_ears_1						180					face	10	physical
bothan_male	face	color	color_fur	index_color_skin											body	1	cosmetic
bothan_male	hair	color	color_hair	index_color_1										1	hair	1	cosmetic
bothan_male	hair	color	color_trim	index_color_2										1	hair	2	cosmetic
zabrak_female	body	hslider	muscle	blend_muscle											body	3	physical
zabrak_female	body	hslider	height		1										body	5	physical
zabrak_female	body	hslider	weight	blend_skinny,blend_fat											body	7	physical
zabrak_female	body	hslider	chest	blend_flat_chest		1									body	9	physical
zabrak_female	body	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
zabrak_female	eyes_nose	hslider	eye_size	blend_eyesize_0,blend_eyesize_1											face	8	physical
zabrak_female	eyes_nose	hslider	eye_shape	blend_eyeshape_0,blend_eyeshape_1											face	8	physical
zabrak_female	eyes_nose	hslider	eye_direction	blend_eyedirection_0,blend_eyedirection_1											face	8	physical
zabrak_female	eyes_nose	hslider	nose_length	blend_noselength_0,blend_noselength_1						225					face	6	physical
zabrak_female	eyes_nose	hslider	nose_width	blend_nosewidth_0,blend_nosewidth_1						180					face	6	physical
zabrak_female	eyes_nose	hslider	nose_protrusion	blend_nosedepth_0,blend_nosedepth_1						270					face	6	physical
zabrak_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
zabrak_female	face	hslider	age	index_age							1	0			face	12	physical
zabrak_female	face	hslider	lip_fullness	blend_lipfullness_0,blend_lipfullness_1											face	4	physical
zabrak_female	face	hslider	lip_width	blend_lipwidth_0,blend_lipwidth_1											face	5	physical
zabrak_female	face	hslider	chin	blend_chinsize_0,blend_chinsize_1											face	5	physical
zabrak_female	face	hslider	jaw	blend_jaw_0,blend_jaw_1						195					face	10	physical
zabrak_female	face	hslider	cheeks	blend_cheeks_0,blend_cheeks_1											face	4	physical
zabrak_female	face	hslider	ears	blend_ears_0,blend_ears_1						180					face	10	physical
zabrak_female	face	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
zabrak_female	tattoos	hslider	tattoo_style	index_style_tattoo							1				markings	7	cosmetic
zabrak_female	tattoos	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
